IdResultado,Numero,FaixaEtaria,Equipe,TempoLiq,TempoOfic,ClassGeral,ClassSexo,ClassFaixa,TotalClassGeral,TotalClassSexo,TotalClassFaixa,Ritmo,Distancia,NoLugarDe,FezInscricao,IdAtleta,IdProva,TempoEquipe
28,3147,F3539, LocaMotiva,2008-10-28 01:21:20,2008-10-28 01:30:09,5699,1154,198,null,null,null,2008-10-28 08:08:00,10Km,,true,17,4,null
29,2961,M3539, LocaMotiva,2008-10-28 00:34:22,2008-10-23 00:34:00,221,207,36,null,null,null,2008-10-23 04:17:00,8Km,,true,1,2,null
30,2957,M3034, LocaMotiva,2008-10-28 00:37:08,2008-10-23 00:37:00,368,344,55,null,null,null,2008-10-23 04:38:00,8Km,,true,2,2,null
31,2965,M3034, LocaMotiva,2008-10-28 00:37:35,2008-10-23 00:38:00,412,383,65,null,null,null,2008-10-23 04:41:00,8Km,,true,3,2,null
32,2960,M3034, LocaMotiva,2008-10-28 00:41:59,2008-10-23 00:42:00,763,689,119,null,null,null,2008-10-23 05:14:00,8Km,,true,4,2,null
33,2956,M2529, LocaMotiva,2008-10-28 00:45:18,2008-10-23 00:47:00,1086,948,100,null,null,null,2008-10-23 05:39:00,8Km,,true,5,2,null
34,2964,M2024, LocaMotiva,2008-10-28 00:50:29,2008-10-23 00:52:00,1514,1244,69,null,null,null,2008-10-23 06:18:00,8Km,,true,6,2,null
35,2962,M2529, LocaMotiva,2008-10-28 00:55:25,2008-10-23 00:57:00,1814,1406,156,null,null,null,2008-10-23 06:55:00,8Km,,true,7,2,null
36,2958,F3034, LocaMotiva,2008-10-28 00:57:41,2008-10-23 00:59:00,1884,445,75,null,null,null,2008-10-23 07:12:00,8Km,,true,8,2,null
37,2953,F2024, LocaMotiva,2008-10-28 00:57:41,2008-10-23 00:59:00,1885,446,17,null,null,null,2008-10-23 07:12:00,8Km,,true,9,2,null
38,2955,M2024, LocaMotiva,2008-10-28 01:01:31,2008-10-23 01:03:00,1984,1484,80,null,null,null,2008-10-23 07:41:00,8Km,,true,10,2,null
39,2959,M2529, LocaMotiva,2008-10-28 01:01:36,2008-10-23 01:03:00,1986,1485,167,null,null,null,2008-10-23 07:42:00,8Km,,true,11,2,null
40,2954,M2529, LocaMotiva,2008-10-28 01:03:34,2008-10-23 01:05:00,2001,1491,168,null,null,null,2008-10-23 07:56:00,8Km,,true,12,2,null
41,2963,, LocaMotiva,2008-11-17 00:42:00,2008-11-17 00:42:00,0,0,0,null,null,null,null,8Km,,true,13,2,null
60,206-1,null, LocaMotiva,2008-11-17 00:26:31,2008-11-17 04:51:49,626,null,367,null,null,null,null,5.275KM,null,true,1,5,null
61,206-2,null, LocaMotiva,2008-11-17 00:27:08,2008-11-17 04:51:49,626,null,367,null,null,null,null,5.275KM,null,true,13,5,null
62,206-3,null, LocaMotiva,2008-11-17 00:29:47,2008-11-17 04:51:49,626,null,367,null,null,null,null,5.275KM,null,true,5,5,null
63,206-4,null, LocaMotiva,2008-11-17 00:42:23,2008-11-17 04:51:49,626,null,367,null,null,null,null,5.275KM,null,true,11,5,null
64,206-5,null, LocaMotiva,2008-11-17 00:37:56,2008-11-17 04:51:49,626,null,367,null,null,null,null,5.275KM,null,true,8,5,null
65,206-6,null, LocaMotiva,2008-11-17 00:45:23,2008-11-17 04:51:49,626,null,367,null,null,null,null,5.275KM,null,true,23,5,null
66,206-7,null, LocaMotiva,2008-11-17 00:35:10,2008-11-17 04:51:49,626,null,367,null,null,null,null,5.275KM,null,true,7,5,null
67,206-8,null, LocaMotiva,2008-11-17 00:39:02,2008-11-17 04:51:49,626,null,367,null,null,null,null,5.275KM,null,true,10,5,null
68,207-1,null, LocaMotiva,2008-11-17 00:26:31,2008-11-17 04:52:33,635,null,376,null,null,null,null,5.275KM,null,true,3,5,null
69,207-2,null, LocaMotiva,2008-11-17 00:33:18,2008-11-17 04:52:33,635,null,376,null,null,null,null,5.275KM,null,true,6,5,null
70,207-3,null, LocaMotiva,2008-11-17 00:53:10,2008-11-17 04:52:33,635,null,376,null,null,null,null,5.275KM,null,true,18,5,null
