"id","start_number"," category"," team"," liquid_time"," official_time"," class_general"," class_sex"," class_category"," pace"," distance"," substitute"," notes"," athlete_id"," race_id"
418,"3440","M3539","Locamotiva","20100131003209","20100131003224","403","387","59","201001310435","7Km",,,2,40
419,"3444","M3539","Locamotiva","20100131003401","20100131003416","598","571","100","201001310451","7Km",,,1,40
420,"3445","M3034","Locamotiva","20100131003826","20100131003840","1216","1120","182","201001310529","7Km",,,13,40
421,"3441","M2529","Locamotiva","20100131004509","20100131004813","2273","1926","243","201001310627","7Km",,,60,40
422,"3439","M2024","Locamotiva","20100131004713","20100131005130","2548","2102","100","201001310644","7Km",,,61,40
423,"3442","M3034","Locamotiva","20100131004814","20100131005232","2658","2167","354","201001310653","7Km",,,55,40
424,"3435","M2024","Locamotiva","20100131004815","20100131005232","2661","2170","103","201001310653","7Km",,,52,40
425,"3446","M3539","Locamotiva","20100131005022","20100131005348","2863","2296","388","201001310711","7Km",,,47,40
426,"3437","M3034","Locamotiva","20100131005112","20100131005341","2926","2335","379","201001310718","7Km",,,53,40
427,"3438","M2529","Locamotiva","20100131004713","20100131005130","2550","2104","264","201001310644","7Km",,,59,40
428,"3436","M3034","Locamotiva","20100131003158","20100131003212","382 ","368 ","55 ","201001310434","7Km",,,4,40
429,"13818","M3034  ","Locamotiva","20100321002145","20100321002213  ","114  ","104  ","24  ","201003210421","5Km",,,4,42
430,"13820","M2529 ","Locamotiva","20100321002457","20100321002515 ","201 ","182 ","28 ","201003210459","5Km",,,46,42
431,"13817","F2529 ","Locamotiva","20100321002815 ","20100321003523","424 ","58 ","16 ","201003210539","5Km"," Karina Nunes Figueiredo ",,62,42
432,"13825","M3539 ","Locamotiva","20100321003134","20100321003704 ","813 ","591 ","106 ","201003210618","5Km",,,47,42
433,"13812","M2024 ","Locamotiva","20100321003355","20100321004109","1139 ","750 ","35 ","201003210647","5Km",,,61,42
434,"13810","M3034 ","Locamotiva","20100321003449","20100321003809","1237 ","790 ","154 ","201003210657","5Km",,,21,42
435,"13813","M3034 ","Locamotiva","20100321003737","20100321004448","1558 ","906 ","168 ","201003210731","5Km",,,12,42
